Open,High,Low,Close,Adj Close,Volume
125.19999694824219,148.75999450683594,125.0,145.5500030517578,141.9103240966797,226353035
147.1999969482422,149.47999572753906,139.2100067138672,142.6300048828125,139.0633544921875,52650205
142.8000030517578,144.1999969482422,139.64999389648438,140.1300048828125,136.62588500976562,17381530
140.02000427246094,146.60000610351562,137.42999267578125,144.86000061035156,141.2376251220703,25164650
145.0,157.97999572753906,143.2100067138672,155.8300018310547,151.93325805664062,48666150
157.38999938964844,173.35000610351562,156.1999969482422,168.94000244140625,164.71542358398438,46733940
173.1999969482422,181.97999572753906,173.1999969482422,180.05999755859375,175.55735778808594,45116345
184.99000549316406,190.6999969482422,172.52999877929688,180.41000366210938,175.8986053466797,59356565
181.0,183.1999969482422,175.1999969482422,179.80999755859375,175.31361389160156,19247675
182.1999969482422,185.0,179.0,181.5399932861328,177.00035095214844,6711285
181.39999389648438,181.47999572753906,175.72999572753906,176.6199951171875,172.20339965820312,10118740
176.1999969482422,184.0,176.1699981689453,178.08999633789062,173.63662719726562,16381015
180.0,181.5399932861328,175.39999389648438,176.33999633789062,171.930419921875,9198590
177.0,181.58999633789062,176.6199951171875,178.10000610351562,173.6463623046875,9411150
179.0,179.60000610351562,176.0500030517578,176.69000244140625,172.27163696289062,4195835
177.33999633789062,181.39999389648438,174.25999450683594,176.3000030517578,171.89138793945312,10190335
177.0,179.0,176.1999969482422,176.86000061035156,172.43736267089844,4950450
177.8000030517578,178.39999389648438,176.02000427246094,176.3000030517578,171.89138793945312,3875510
175.9499969482422,178.1999969482422,174.4600067138672,175.3800048828125,170.99440002441406,4743845
177.1999969482422,188.6699981689453,176.8000030517578,186.5800018310547,181.914306640625,27509375
191.0,196.17999267578125,180.63999938964844,186.41000366210938,181.7485809326172,30872350
183.0,189.39999389648438,179.39999389648438,181.4600067138672,176.92236328125,14336980
184.0,187.9600067138672,180.39999389648438,185.63999938964844,180.99781799316406,15970190
186.82000732421875,187.5800018310547,183.41000366210938,184.42999267578125,179.81808471679688,5720000
184.5500030517578,184.8000030517578,180.0,180.50999450683594,175.99610900878906,5522965
181.8000030517578,183.39999389648438,178.0,179.13999938964844,174.66038513183594,6322985
179.60000610351562,181.1999969482422,176.02000427246094,176.9600067138672,172.53488159179688,6485590
177.8000030517578,177.8000030517578,174.47999572753906,175.17999267578125,170.7993927001953,3738365
175.8000030517578,178.0,174.6199951171875,176.42999267578125,172.01812744140625,3437825
177.39999389648438,179.0,175.10000610351562,175.74000549316406,171.34539794921875,3971740
176.22000122070312,178.1999969482422,176.0,176.64999389648438,172.232666015625,2933130
176.99000549316406,177.55999755859375,175.6199951171875,176.49000549316406,172.07664489746094,2078740
176.42999267578125,183.74000549316406,175.60000610351562,179.4499969482422,174.96261596679688,8998765
180.39999389648438,180.57000732421875,175.6300048828125,176.2100067138672,171.80364990234375,2332100
177.1999969482422,177.8000030517578,174.1999969482422,175.0,170.62388610839844,2754285
174.39999389648438,177.0,172.4600067138672,174.82000732421875,170.4484100341797,3705230
175.89999389648438,177.77999877929688,174.39999389648438,175.19000244140625,170.8091583251953,2634880
175.39999389648438,175.72999572753906,173.6300048828125,174.47000122070312,170.10714721679688,1776855
175.30999755859375,175.30999755859375,172.8300018310547,173.47999572753906,169.1418914794922,1771245
173.9600067138672,173.9600067138672,171.05999755859375,172.17999267578125,167.8743896484375,1974045
172.77999877929688,173.99000549316406,171.10000610351562,172.92999267578125,168.6056365966797,2205205
173.0,175.60000610351562,172.02000427246094,173.97999572753906,169.62937927246094,1451385
174.85000610351562,180.67999267578125,174.02000427246094,178.10000610351562,173.6463623046875,7002525
178.89999389648438,178.89999389648438,176.42999267578125,177.33999633789062,172.90538024902344,1780960
177.8000030517578,179.6999969482422,176.60000610351562,177.35000610351562,172.91514587402344,2816655
177.36000061035156,177.5,174.66000366210938,175.07000732421875,170.69216918945312,1424660
174.44000244140625,175.1999969482422,173.24000549316406,173.94000244140625,169.59039306640625,1513725
174.8000030517578,174.8000030517578,173.10000610351562,173.3699951171875,169.03468322753906,1306000
173.60000610351562,174.0,172.1999969482422,172.9499969482422,168.62515258789062,1641045
177.0,179.9600067138672,175.0399932861328,177.50999450683594,173.07113647460938,12020790
177.1999969482422,177.60000610351562,174.89999389648438,175.3800048828125,170.99440002441406,1962805
176.38999938964844,177.0800018310547,175.39999389648438,176.1199951171875,171.71588134765625,2102615
177.0500030517578,187.49000549316406,176.66000366210938,185.22999572753906,180.5980682373047,15237855
186.39999389648438,190.94000244140625,184.25999450683594,186.69000244140625,182.02157592773438,19445900
188.3800048828125,190.77000427246094,186.9600067138672,188.8699951171875,184.14706420898438,8593275
188.8000030517578,188.8000030517578,185.41000366210938,186.0800018310547,181.4268341064453,3287655
185.60000610351562,188.6999969482422,185.50999450683594,186.27999877929688,181.62184143066406,4342850
185.39999389648438,185.41000366210938,178.02000427246094,178.88999938964844,174.4166259765625,3923670
179.39999389648438,184.3000030517578,179.39999389648438,181.47999572753906,176.94186401367188,3486795
179.8000030517578,180.52000427246094,177.25999450683594,179.22999572753906,174.74810791015625,2770350
182.07000732421875,184.1199951171875,182.0,182.72999572753906,178.1605987548828,2997000
182.39999389648438,185.47999572753906,181.72999572753906,183.4499969482422,178.86260986328125,2543885
184.0,188.55999755859375,183.2100067138672,187.8300018310547,183.1331024169922,3914925
189.0,196.74000549316406,188.41000366210938,194.8300018310547,189.9580078125,14487235
195.60000610351562,199.1999969482422,194.77000427246094,197.0800018310547,192.15176391601562,8562850
