Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,477.3999938964844,481.20001220703125,470.8500061035156,480.25,462.9450988769531,2203533
2019-01-02,476.04998779296875,480.0,462.25,470.25,453.305419921875,2687773
2019-01-03,472.5,472.8999938964844,457.6499938964844,461.45001220703125,444.8225402832031,3488230
2019-01-04,463.0,468.70001220703125,455.6000061035156,463.95001220703125,447.23248291015625,2552610
2019-01-07,469.0,469.0,457.5,462.95001220703125,446.2685241699219,3020561
2019-01-08,462.5,463.79998779296875,448.75,451.6499938964844,435.37567138671875,4224183
2019-01-09,453.1000061035156,461.6499938964844,445.79998779296875,451.25,434.9900817871094,6334834
2019-01-10,452.5,455.5,448.79998779296875,451.3500061035156,435.0864562988281,3412584
2019-01-11,452.8999938964844,455.25,449.25,451.04998779296875,434.7972717285156,2587687
2019-01-14,450.95001220703125,451.75,442.29998779296875,448.1000061035156,431.95355224609375,2341591
2019-01-15,452.3999938964844,463.20001220703125,450.0,456.79998779296875,440.340087890625,6762709
2019-01-16,467.8999938964844,475.75,450.20001220703125,452.1000061035156,435.8094787597656,19555435
2019-01-17,453.3999938964844,457.04998779296875,434.20001220703125,440.8999938964844,425.01300048828125,8620833
2019-01-18,441.79998779296875,445.0,436.20001220703125,440.29998779296875,424.43463134765625,4546785
2019-01-21,445.0,445.0,434.04998779296875,436.6499938964844,420.9161376953125,4326866
2019-01-22,436.0,437.3500061035156,420.0,425.25,409.9269104003906,6199011
2019-01-23,424.5,439.79998779296875,423.79998779296875,432.8500061035156,417.2530822753906,12987032
2019-01-24,433.95001220703125,439.0,424.3500061035156,433.8500061035156,418.2170715332031,6954715
2019-01-25,437.75,439.3500061035156,288.29998779296875,318.3999938964844,306.9270324707031,74261004
2019-01-28,350.20001220703125,382.0,320.0,373.29998779296875,359.8488464355469,121305516
2019-01-29,369.8999938964844,388.5,362.75,377.3999938964844,363.8011169433594,37435712
2019-01-30,380.0,391.6499938964844,374.1000061035156,388.8500061035156,374.8385314941406,15810931
2019-01-31,390.29998779296875,390.8999938964844,362.29998779296875,380.20001220703125,366.500244140625,21434530
2019-02-01,378.6000061035156,399.8500061035156,348.6000061035156,354.3999938964844,341.6298522949219,24540656
2019-02-04,344.8999938964844,361.95001220703125,329.1000061035156,347.75,335.2195129394531,25098014
2019-02-05,343.0,369.8999938964844,341.04998779296875,365.3500061035156,352.1853332519531,12141903
2019-02-06,367.0,398.0,367.0,388.0,374.0191345214844,25112956
2019-02-07,389.0,411.5,386.0,408.75,394.021484375,15012316
2019-02-08,405.6499938964844,409.0,396.1499938964844,398.79998779296875,384.42999267578125,7589058
2019-02-11,399.0,404.8999938964844,392.79998779296875,401.70001220703125,387.22552490234375,4888722
2019-02-12,404.0,419.0,401.6000061035156,414.70001220703125,399.757080078125,6978555
