Date,^NSEI,TATACHEM.NS,ACC.NS,MGL.NS,GODREJIND.NS,HINDZINC.NS,IDEA.NS,IGL.NS,LUPIN.NS,MAHABANK.NS,PAGEIND.NS,AMBUJACEM.NS,BANKBARODA.NS,HAL.NS,HAVELLS.NS,ICICIGI.NS,ICICIPRULI.NS,INDIGO.NS,IOC.NS,JINDALSTEL.NS,NAUKRI.NS
2019-01-02,10868.849609375,311.6702880859375,1487.8499755859375,907.0,540.9000244140625,275.0,22.882673263549805,271.6000061035156,842.0,15.800000190734863,24790.0,222.8999938964844,123.5,402.0,692.0,870.0,323.70001220703125,1170.0,91.53333282470705,160.0,1444.0
2019-01-03,10796.7998046875,309.2894287109375,1483.949951171875,900.0,539.8499755859375,271.25,21.55614280700684,275.25,836.0,15.350000381469728,24500.0,219.0,121.4000015258789,399.9500122070313,693.0,875.0,318.04998779296875,1162.6500244140625,91.46666717529295,157.35000610351562,1431.0
2019-01-04,10699.7001953125,306.864501953125,1458.0,891.7999877929688,533.6500244140625,269.29998779296875,21.76718139648437,273.5,824.0,15.25,23800.0,214.5,120.4000015258789,399.9750061035156,683.2000122070312,862.0999755859375,316.95001220703125,1156.199951171875,88.43333435058594,147.9499969482422,1487.0
2019-01-07,10804.849609375,309.7964782714844,1482.0,899.5,540.7000122070312,273.8999938964844,22.068666458129883,279.95001220703125,834.0499877929688,15.699999809265137,22977.650390625,218.5,122.5,398.5,684.0499877929688,868.0,326.1499938964844,1125.050048828125,89.66666412353516,155.0,1568.5
2019-01-08,10786.25,308.5840148925781,1484.0,907.9000244140624,538.7999877929688,273.04998779296875,22.00836944580078,273.8999938964844,823.7999877929688,15.25,21970.0,217.1000061035156,122.9000015258789,392.8500061035156,694.0,869.0,322.70001220703125,1109.4000244140625,89.06666564941406,152.39999389648438,1632.0999755859375
2019-01-09,10862.400390625,308.6942138671875,1484.0,904.0,542.5499877929688,275.8999938964844,22.309852600097656,272.95001220703125,844.0,15.5,23061.0,219.5,124.0999984741211,394.9500122070313,672.0,865.0,326.45001220703125,1114.9000244140625,89.16666412353516,158.5,1613.9000244140625
2019-01-10,10859.349609375,306.4677124023437,1455.25,901.9000244140624,536.8499755859375,274.95001220703125,22.309852600097656,265.79998779296875,836.5999755859375,15.199999809265137,23300.0,213.8500061035156,122.5,389.3250122070313,682.9500122070312,861.0,338.0,1089.949951171875,87.4000015258789,152.39999389648438,1634.9000244140625
2019-01-11,10834.75,308.3194580078125,1455.0,901.2999877929688,544.0,275.8999938964844,22.340002059936523,268.70001220703125,838.5,15.25,23176.349609375,213.8500061035156,123.8000030517578,390.0,688.0,890.0,347.5,1095.0,87.0,150.9499969482422,1599.0
2019-01-14,10807.0,307.2613220214844,1461.9000244140625,888.0,537.5,273.0,22.309852600097656,268.54998779296875,837.7999877929688,14.949999809265137,23191.0,213.0,120.9499969482422,383.9249877929688,686.0,879.0,354.54998779296875,1058.0,88.66666412353516,148.5,1604.949951171875
2019-01-15,10777.5498046875,306.864501953125,1465.0,892.0,525.0,272.54998779296875,21.67673683166504,271.04998779296875,836.5,14.75,24048.0,215.4499969482422,121.3000030517578,387.6749877929688,691.25,879.0,347.29998779296875,1077.0,88.4000015258789,144.9499969482422,1655.0
2019-01-16,10899.650390625,306.4677124023437,1488.699951171875,900.0499877929688,531.0,273.5,21.91792297363281,271.0,850.4000244140625,14.649999618530272,23725.5,217.0,121.0999984741211,386.8999938964844,682.4500122070312,862.25,354.0,1081.699951171875,90.0,147.25,1675.0
2019-01-17,10920.849609375,307.7463073730469,1484.0,900.0,528.0,272.6000061035156,21.94807243347168,275.79998779296875,863.6500244140625,15.050000190734863,23440.0,218.0,121.5,387.0,684.7000122070312,858.0,347.8500061035156,1138.0,90.66666412353516,147.1999969482422,1687.699951171875
2019-01-18,10914.849609375,304.7481994628906,1468.0,899.0,528.0,273.6000061035156,22.309852600097656,277.0,861.0999755859375,14.75,23345.0,215.6999969482422,119.1999969482422,390.0,677.5499877929688,875.0,350.1499938964844,1104.9000244140625,91.66666412353516,146.5,1635.0
2019-01-21,10919.349609375,305.9386291503906,1444.9000244140625,905.0,523.0999755859375,273.20001220703125,21.22450828552246,281.5,857.0,14.75,22969.0,213.0,118.3000030517578,388.5,679.25,862.0,352.45001220703125,1072.0,91.33333587646484,146.0,1601.0
2019-01-22,10949.7998046875,304.6600341796875,1429.0,902.0999755859376,525.0,266.0,19.747234344482425,286.8999938964844,866.0,14.550000190734863,22501.0,212.1999969482422,116.4499969482422,388.5499877929688,679.7000122070312,852.9500122070312,353.0,1055.800048828125,90.63333129882812,144.10000610351562,1554.3499755859375
2019-01-23,10931.0498046875,303.3373413085937,1436.3499755859375,907.5,525.0499877929688,260.70001220703125,20.32005500793457,282.5,866.0,14.25,22504.5,213.0,114.0,385.2749938964844,721.0,846.0,330.0,1120.0,91.0,137.5,1633.0
2019-01-24,10844.0498046875,299.9203796386719,1432.9000244140625,911.0,523.5,259.5,20.77228164672852,286.5,866.0,13.899999618530272,22790.05078125,213.8000030517578,112.0,376.375,696.2000122070312,835.0,307.5,1072.0999755859375,90.83333587646484,140.0,1739.0
2019-01-25,10859.75,302.4555358886719,1427.4000244140625,906.6500244140624,520.0999755859375,258.95001220703125,20.380352020263672,282.8999938964844,870.0,14.199999809265137,23324.80078125,211.8999938964844,113.3000030517578,374.5499877929688,700.25,856.0,304.6000061035156,1180.0,91.1999969482422,141.64999389648438,1720.1500244140625
